iter	Passed	Remaining
393	19041	29286
394	19144	29321
395	19217	29310
396	19306	29324
397	19445	29411
398	19514	29394
399	19605	29408
400	19663	29372
401	19728	29347
402	19793	29322
403	19857	29294
404	19920	29266
405	19978	29229
406	20045	29206
407	20117	29189
408	20174	29152
409	20261	29157
410	20324	29127
411	20387	29096
412	20444	29057
413	20507	29027
414	20575	29004
415	20643	28980
416	20704	28947
417	20770	28919
418	20832	28887
419	20891	28849
420	20957	28823
421	21025	28798
422	21106	28790
423	21172	28762
424	21235	28730
425	21302	28703
426	21371	28679
427	21436	28649
428	21503	28621
429	21572	28596
430	21640	28569
431	21716	28553
432	21778	28518
433	21849	28495
434	21948	28507
435	22068	28547
436	22165	28556
437	22233	28528
438	22298	28494
439	22415	28528
440	22505	28527
441	22597	28527
442	22687	28525
443	22762	28504
444	22827	28469
445	22914	28463
446	22979	28429
447	23060	28413
448	23178	28443
449	23293	28470
450	23383	28464
451	23442	28421
452	23537	28421
453	23602	28385
454	23669	28351
455	23736	28317
456	23791	28269
457	23853	28228
458	23911	28182
459	23990	28163
460	24058	28129
461	24118	28086
462	24184	28049
463	24257	28021
464	24373	28043
465	24589	28177
466	24775	28276
467	24951	28363
468	25152	28477
469	25263	28488
470	25366	28490
471	25433	28450
472	25528	28443
473	25633	28445
474	25757	28468
475	25830	28435
476	25899	28396
477	25965	28356
478	26049	28334
479	26140	28318
480	26250	28324
481	26408	28381
482	26531	28399
483	26647	28409
484	26731	28384
485	26805	28349
486	26873	28308
487	26980	28307
488	27093	28311
489	27225	28336
490	27313	28314
491	27421	28313
492	27538	28320
493	27622	28293
494	27778	28339
495	27844	28293
496	27963	28301
497	28051	28276
498	28210	28323
499	28353	28353
500	28447	28333
501	28565	28338
502	28636	28294
503	28726	28270
504	28800	28229
505	28916	28230
506	29018	28216
507	29094	28178
508	29194	28162
509	29280	28131
510	29355	28091
511	29412	28033
512	29486	27992
513	29577	27966
514	29654	27927
515	29709	27867
516	29771	27813
517	29834	27760
518	29909	27719
519	29999	27691
520	30082	27657
521	30140	27599
522	30219	27561
523	30283	27509
524	30373	27480
525	30457	27446
526	30523	27395
527	30650	27399
528	30730	27361
529	30798	27311
530	30879	27273
531	30962	27237
532	31020	27178
533	31119	27156
534	31219	27135
535	31303	27098
536	31396	27070
537	31498	27049
538	31568	26999
539	31662	26972
540	31777	26961
541	31848	26912
542	31930	26873
543	32011	26833
544	32081	26783
545	32150	26733
546	32234	26694
547	32297	26639
548	32366	26588
549	32440	26542
550	32508	26490
551	32590	26450
552	32648	26390
553	32712	26335
554	32779	26282
555	32848	26231
556	32912	26176
557	32991	26133
558	33048	26072
559	33112	26016
560	33190	25972
561	33258	25920
562	33325	25867
563	33388	25810
564	33455	25757
565	33522	25704
566	33586	25649
567	33651	25594
568	33720	25542
569	33787	25488
570	33851	25433
571	33916	25377
572	34003	25339
573	34069	25284
574	34122	25221
575	34188	25166
576	34255	25112
577	34317	25055
578	34383	25001
579	34445	24943
580	34502	24882
581	34570	24828
582	34626	24767
583	34696	24714
584	34759	24658
585	34824	24602
586	34888	24546
587	34952	24490
588	35012	24431
589	35091	24385
590	35155	24329
591	35219	24273
592	35278	24212
593	35344	24158
594	35411	24103
595	35473	24046
596	35540	23991
597	35608	23937
598	35672	23880
599	35738	23825
600	35799	23767
601	35868	23713
602	35930	23655
603	36007	23607
604	36079	23555
605	36144	23499
606	36209	23443
607	36261	23379
608	36329	23325
609	36391	23266
610	36459	23212
611	36528	23158
612	36596	23104
613	36661	23047
614	36721	22988
615	36778	22926
616	36847	22872
617	36908	22814
618	36988	22766
619	37089	22732
620	37193	22699
621	37298	22666
622	37365	22611
623	37434	22556
624	37516	22509
625	37646	22491
626	37718	22438
627	37792	22386
628	37861	22331
629	37932	22278
630	38000	22222
631	38076	22171
632	38144	22115
633	38215	22061
634	38282	22004
635	38346	21946
636	38415	21891
637	38479	21833
638	38546	21776
639	38611	21719
640	38678	21662
641	38758	21613
642	38825	21556
643	38894	21500
644	38964	21445
645	39031	21388
646	39090	21327
647	39157	21270
648	39222	21212
649	39285	21153
650	39351	21096
651	39417	21038
652	39485	20982
653	39560	20929
654	39618	20867
655	39686	20811
656	39756	20755
657	39813	20693
658	39889	20640
659	39953	20582
660	40027	20528
661	40092	20470
662	40145	20405
663	40216	20350
664	40292	20297
665	40357	20239
666	40431	20185
667	40518	20138
668	40589	20082
669	40837	20114
670	41018	20111
671	41221	20120
672	41373	20102
673	41447	20047
674	41516	19989
675	41583	19930
676	41646	19869
677	41711	19810
678	41783	19753
679	41851	19694
680	41920	19636
681	41997	19582
682	42060	19521
683	42129	19463
684	42200	19406
685	42276	19351
686	42343	19292
687	42409	19232
688	42480	19174
689	42550	19116
690	42622	19060
691	42683	18997
692	42759	18942
693	42824	18882
694	42894	18824
695	42962	18765
696	43043	18711
697	43111	18653
698	43192	18599
699	43274	18546
700	43346	18488
701	43424	18433
702	43494	18375
703	43580	18323
704	43676	18275
705	43744	18216
706	43845	18170
707	43935	18120
708	44026	18070
709	44094	18010
710	44159	17949
711	44224	17888
712	44291	17828
713	44367	17771
714	44438	17713
715	44505	17652
716	44575	17593
717	44649	17536
718	44709	17473
719	44777	17413
720	44842	17352
721	44912	17293
722	44985	17234
723	45051	17174
724	45130	17118
725	45198	17058
726	45267	16998
727	45337	16939
728	45411	16881
729	45496	16827
730	45597	16779
731	45682	16725
732	45763	16669
733	45839	16611
734	45895	16547
735	45964	16487
736	46029	16425
737	46095	16364
738	46170	16306
739	46240	16246
740	46304	16184
741	46360	16120
742	46426	16058
743	46492	15997
744	46557	15935
745	46608	15869
746	46673	15807
747	46739	15746
748	46801	15683
749	46859	15619
750	46925	15558
751	46987	15495
752	47050	15433
753	47107	15369
754	47169	15306
755	47225	15242
756	47302	15184
757	47392	15130
758	47494	15080
759	47595	15030
760	47660	14968
761	47730	14907
762	47809	14850
763	47880	14790
764	47946	14728
765	48022	14670
766	48078	14605
767	48152	14546
768	48223	14485
769	48285	14422
770	48343	14358
771	48406	14296
772	48471	14234
773	48537	14172
774	48605	14111
775	48708	14060
776	48769	13996
777	48814	13929
778	48862	13862
779	48930	13800
780	48978	13734
781	49022	13665
782	49069	13598
783	49117	13532
784	49170	13466
785	49219	13400
786	49268	13334
787	49311	13266
788	49355	13199
789	49403	13132
790	49473	13071
791	49518	13004
792	49564	12938
793	49603	12869
794	49646	12801
795	49685	12733
796	49726	12665
797	49765	12597
798	49806	12529
799	49846	12461
800	49894	12395
801	49961	12334
802	50029	12273
803	50086	12210
804	50159	12150
805	50215	12086
806	50298	12029
807	50398	11975
808	50470	11915
809	50526	11851
810	50583	11788
811	50647	11726
812	50691	11659
813	50740	11594
814	50802	11531
815	50844	11465
816	50888	11398
817	50930	11331
818	50994	11269
819	51036	11203
820	51095	11140
821	51133	11072
822	51177	11006
823	51222	10940
824	51272	10876
825	51319	10810
826	51365	10745
827	51410	10679
828	51452	10613
829	51497	10547
830	51541	10482
831	51583	10415
832	51626	10349
833	51670	10284
834	51714	10219
835	51753	10152
836	51797	10087
837	51832	10020
838	51874	9954
839	51917	9889
840	51956	9823
841	51998	9757
842	52038	9691
843	52074	9625
844	52119	9560
845	52165	9495
846	52219	9432
847	52259	9367
848	52298	9301
849	52340	9236
850	52386	9172
851	52425	9106
852	52468	9042
853	52512	8977
854	52552	8912
855	52592	8847
856	52622	8780
857	52702	8722
858	52763	8660
859	52926	8615
860	53094	8571
861	53274	8528
862	53380	8474
863	53429	8410
864	53469	8344
865	53520	8281
866	53562	8216
867	53611	8152
868	53661	8089
869	53725	8028
870	53769	7963
871	53813	7899
872	53851	7834
873	53884	7768
874	53924	7703
875	53950	7636
876	53983	7571
877	54021	7506
878	54054	7440
879	54089	7375
880	54119	7310
881	54148	7244
882	54181	7179
883	54220	7114
884	54254	7050
885	54292	6985
886	54337	6922
887	54392	6860
888	54426	6795
889	54467	6731
890	54497	6666
891	54527	6601
892	54573	6539
893	54624	6476
894	54672	6414
895	54705	6349
896	54738	6285
897	54770	6221
898	54804	6157
899	54841	6093
900	54874	6029
901	54906	5965
902	54940	5901
903	54975	5838
904	55007	5774
905	55038	5710
906	55072	5646
907	55106	5583
908	55137	5519
909	55180	5457
910	55211	5393
911	55242	5330
912	55272	5266
913	55307	5204
914	55339	5140
915	55370	5077
916	55409	5015
917	55448	4952
918	55490	4890
919	55526	4828
920	55561	4765
921	55596	4703
922	55632	4641
923	55664	4578
924	55698	4516
925	55732	4453
926	55767	4391
927	55799	4329
928	55832	4267
929	55869	4205
930	55907	4143
931	55948	4082
932	55993	4020
933	56043	3960
934	56081	3898
935	56117	3837
936	56161	3776
937	56207	3715
938	56245	3653
939	56283	3592
940	56323	3531
941	56364	3470
942	56410	3409
943	56467	3349
944	56508	3288
945	56565	3228
946	56612	3168
947	56657	3107
948	56725	3048
949	56767	2987
950	56837	2928
951	56888	2868
952	56951	2808
953	56995	2748
954	57062	2688
955	57155	2630
956	57212	2570
957	57252	2510
958	57316	2450
959	57382	2390
960	57436	2330
961	57475	2270
962	57546	2211
963	57601	2151
964	57659	2091
965	57704	2031
966	57755	1970
967	57797	1910
968	57838	1850
969	57896	1790
970	57983	1731
971	58033	1671
972	58089	1611
973	58132	1551
974	58180	1491
975	58237	1432
976	58318	1372
977	58363	1312
978	58404	1252
979	58440	1192
980	58476	1132
981	58518	1072
982	58572	1012
983	58627	953
984	58667	893
985	58700	833
986	58731	773
987	58770	713
988	58800	653
989	58832	594
990	58874	534
991	58914	475
992	58954	415
993	59001	356
994	59046	296
995	59097	237
996	59137	177
997	59183	118
998	59214	59
999	59245	0
