iter	Logloss
0	0.6160345947
1	0.5583050903
2	0.5170487305
3	0.485711438
4	0.4599767822
5	0.4425297485
6	0.4286317871
7	0.4168916992
8	0.4037665649
9	0.3948108582
10	0.3879305786
11	0.3810263733
12	0.3764648865
13	0.372772345
14	0.368405896
15	0.3644656738
16	0.3607316467
17	0.3588243286
18	0.3570575684
19	0.3557315308
20	0.3542367065
21	0.352014978
22	0.3503996033
23	0.3493282288
24	0.3479907166
25	0.3473106262
26	0.3466110718
27	0.3454454407
28	0.3447219849
29	0.3441962097
30	0.3434537964
31	0.34306745
32	0.342670166
33	0.3423725586
34	0.342119165
35	0.3417407898
36	0.3415089172
37	0.3412305847
38	0.3407330505
39	0.3405303223
40	0.3401097656
41	0.3399031372
42	0.3395439819
43	0.339369696
44	0.3392471313
45	0.3389538086
46	0.3388193481
47	0.3387059631
48	0.3385172791
49	0.3383842468
50	0.3381517639
51	0.3380743469
52	0.3380216125
53	0.3379067871
54	0.3376869141
55	0.3375909302
56	0.3375180115
57	0.3374338379
58	0.3373485535
59	0.3372879272
60	0.3371853699
61	0.3370852051
62	0.336993927
63	0.3369400269
64	0.336828656
65	0.336761322
66	0.3366739319
67	0.3366085327
68	0.3365426697
69	0.3364795044
70	0.3364074951
71	0.3363509155
72	0.3362749084
73	0.3361999023
74	0.3361195923
75	0.3360451599
76	0.3359856384
77	0.3359522095
78	0.3358609314
79	0.3357805115
80	0.3357027283
81	0.3355584839
82	0.3355131226
83	0.3353771057
84	0.335308374
85	0.3352416016
86	0.3351853699
87	0.3351153198
88	0.3350856201
89	0.3350388855
90	0.3350042908
91	0.3349752563
92	0.3348997742
93	0.3348254028
94	0.3348050537
95	0.3347420776
96	0.3346816101
97	0.3346340393
98	0.3345681213
99	0.3344904114
100	0.3344406738
101	0.3343994385
102	0.3343419678
103	0.3342689575
104	0.3341973816
105	0.3341760376
106	0.3340668823
107	0.3339824951
108	0.3339295715
109	0.3338646423
110	0.3337307251
111	0.3337132324
112	0.3336838013
113	0.3336593933
114	0.33358703
115	0.3335149475
116	0.3334601013
117	0.3333954651
118	0.3333104919
119	0.3332642395
120	0.3332387085
121	0.3331661255
122	0.3331175842
123	0.3330537598
124	0.3330351135
125	0.3329906067
126	0.332939856
127	0.3328894958
128	0.3328432007
129	0.3327761658
130	0.3327434448
131	0.3326981628
132	0.332649884
133	0.3326164001
134	0.3325706116
135	0.332529425
136	0.3325098389
137	0.3324680176
138	0.3324165344
139	0.332354303
140	0.3323291931
141	0.332309436
142	0.3322899414
143	0.3322341309
144	0.3321793701
145	0.3321135254
146	0.3320363098
147	0.3319814392
148	0.331953479
149	0.331882782
150	0.3318529053
151	0.3318057739
152	0.3317644226
153	0.3317042419
154	0.3316401428
155	0.3315905823
156	0.3315704773
157	0.3315147156
158	0.3314511658
159	0.3313624817
160	0.3312940552
161	0.3312582397
162	0.3311609131
163	0.3311214844
164	0.3310872314
165	0.3310179138
166	0.3309632202
167	0.3309177979
168	0.3308481812
169	0.3308227234
170	0.3307922485
171	0.3307507629
